ratio,lambda,m_w,m_x,m_y
2:1,0.1,3.965695825988377e-17,1.0150494241684047e-14,4.025377264596548e-31
2:1,0.2,2.9476547074531586e-17,1.2064578016541322e-13,3.556221018389392e-30
2:1,0.4,9.29941864069761e-22,4.96747610701324e-13,4.619463990677892e-34
2:1,0.8,2.660251702801673e-28,0.19921874999672337,5.299720189088042e-29
2:1,1.0,3.8332934958572e-12,0.37500000000096256,1.4374850609501397e-12
2:1,2.0,0.38585715714144125,0.6929285785713437,0.2673714514295985
2:1,3.0,0.6181055901698721,0.8090527950851079,0.5000800553846652
2:1,5.0,0.7999999999951868,0.8999999999976561,0.719999999993793
2:1,8.0,0.8968990398770714,0.9484495199385639,0.8506634638047672
2:1,10.0,0.9267949192346204,0.9633974596173301,0.892871870776882
2:1,15.0,0.9625631458019812,0.9812815729010002,0.9445454777291029
2:1,20.0,0.9775255128485398,0.9887627564242758,0.9665408205591761
2:1,30.0,0.9894458403080844,0.9947229201540448,0.9842244556055304
2:1,40.0,0.9939339828080257,0.9969669914040142,0.9909193724943266
2:1,50.0,0.9960769515314956,0.9980384757657488,0.9941231224518875
2:1,60.0,0.9972597666031497,0.9986298833015756,0.99589340434426
2:1,80.0,0.9984495199273102,0.9992247599636555,0.9976754818851936
2:1,100.0,0.9990049506018516,0.999502475300926,0.9985079209644299
2:1,120.0,0.999307950205538,0.9996539751027692,0.9989621647747662
2:1,240.0,0.9998265393176885,0.9999132696588442,0.9997398240208368
2:1,480.0,0.9999566066225283,0.9999783033112639,0.9999349108752847
2:1,960.0,0.9999891498794644,0.9999945749397323,0.9999837248780593
